,Year,Source_MTCDEs,value,Scope_Type
62,2014_2015,CH4 digestion,0.0,Scope 2
63,2015_2016,CH4 digestion,0.0,Scope 2
64,2016_2017,CH4 digestion,0.0,Scope 2
65,2017_2018,CH4 digestion,0.0,Scope 2
66,2018_2019,CH4 digestion,0.0,Scope 2
67,2019_2020,CH4 digestion,0.0,Scope 2
68,2020_2021,CH4 digestion,0.0,Scope 2
69,2021_2022,CH4 digestion,0.0,Scope 2
70,2022_2023,CH4 digestion,0.0,Scope 2
71,2023_2024,CH4 digestion,0.0,Scope 2
72,2006_2007,Biomass,0.0,Scope 2
73,2007_2008,Biomass,0.0,Scope 2
74,2008_2009,Biomass,0.0,Scope 2
75,2009_2010,Biomass,0.0,Scope 2
76,2010_2011,Biomass,0.0,Scope 2
77,2011_2012,Biomass,0.0,Scope 2
78,2012_2013,Biomass,0.0,Scope 2
79,2013_2014,Biomass,0.0,Scope 2
80,2014_2015,Biomass,0.0,Scope 2
81,2015_2016,Biomass,0.0,Scope 2
82,2016_2017,Biomass,0.0,Scope 2
83,2017_2018,Biomass,0.0,Scope 2
84,2018_2019,Biomass,0.0,Scope 2
85,2019_2020,Biomass,0.0,Scope 2
86,2020_2021,Biomass,0.0,Scope 2
87,2021_2022,Biomass,0.0,Scope 2
88,2022_2023,Biomass,0.0,Scope 2
89,2023_2024,Biomass,0.0,Scope 2
90,2006_2007,Hydro,0.0,Scope 2
91,2007_2008,Hydro,0.0,Scope 2
92,2008_2009,Hydro,0.0,Scope 2
93,2009_2010,Hydro,0.0,Scope 2
94,2010_2011,Hydro,0.0,Scope 2
95,2011_2012,Hydro,0.0,Scope 2
96,2012_2013,Hydro,0.0,Scope 2
97,2013_2014,Hydro,0.0,Scope 2
98,2014_2015,Hydro,0.0,Scope 2
99,2015_2016,Hydro,0.0,Scope 2
100,2016_2017,Hydro,0.0,Scope 2
101,2017_2018,Hydro,0.0,Scope 2
102,2018_2019,Hydro,0.0,Scope 2
103,2019_2020,Hydro,0.0,Scope 2
104,2020_2021,Hydro,0.0,Scope 2
105,2021_2022,Hydro,0.0,Scope 2
106,2022_2023,Hydro,0.0,Scope 2
107,2023_2024,Hydro,0.0,Scope 2
108,2006_2007,Nuclear,0.0,Scope 2
109,2007_2008,Nuclear,0.0,Scope 2
110,2008_2009,Nuclear,0.0,Scope 2
111,2009_2010,Nuclear,0.0,Scope 2
112,2010_2011,Nuclear,0.0,Scope 2
113,2011_2012,Nuclear,0.0,Scope 2
114,2012_2013,Nuclear,0.0,Scope 2
115,2013_2014,Nuclear,0.0,Scope 2
116,2014_2015,Nuclear,0.0,Scope 2
117,2015_2016,Nuclear,0.0,Scope 2
118,2016_2017,Nuclear,0.0,Scope 2
119,2017_2018,Nuclear,0.0,Scope 2
120,2018_2019,Nuclear,0.0,Scope 2
121,2019_2020,Nuclear,0.0,Scope 2
122,2020_2021,Nuclear,0.0,Scope 2
123,2021_2022,Nuclear,0.0,Scope 2
124,2022_2023,Nuclear,0.0,Scope 2
125,2023_2024,Nuclear,0.0,Scope 2
126,2006_2007,Natural Gas,23.0,Scope 2
127,2007_2008,Natural Gas,34.0,Scope 2
128,2008_2009,Natural Gas,25.0,Scope 2
129,2009_2010,Natural Gas,0.0,Scope 2
130,2010_2011,Natural Gas,0.0,Scope 2
131,2011_2012,Natural Gas,25.0,Scope 2
132,2012_2013,Natural Gas,696.0,Scope 2
133,2013_2014,Natural Gas,681.0,Scope 2
134,2014_2015,Natural Gas,722.0,Scope 2
135,2015_2016,Natural Gas,803.0,Scope 2
136,2016_2017,Natural Gas,701.0,Scope 2
137,2017_2018,Natural Gas,887.0,Scope 2
138,2018_2019,Natural Gas,219.0,Scope 2
139,2019_2020,Natural Gas,80.0,Scope 2
140,2020_2021,Natural Gas,0.0,Scope 2
141,2021_2022,Natural Gas,0.0,Scope 2
142,2022_2023,Natural Gas,0.0,Scope 2
143,2023_2024,Natural Gas,0.0,Scope 2
144,2006_2007,Coal,15.0,Scope 2
145,2007_2008,Coal,24.0,Scope 2
146,2008_2009,Coal,17.0,Scope 2
147,2009_2010,Coal,0.0,Scope 2
148,2010_2011,Coal,0.0,Scope 2
149,2011_2012,Coal,7.0,Scope 2
150,2012_2013,Coal,151.0,Scope 2
151,2013_2014,Coal,147.0,Scope 2
152,2014_2015,Coal,0.0,Scope 2
153,2015_2016,Coal,0.0,Scope 2
154,2016_2017,Coal,76.0,Scope 2
155,2017_2018,Coal,51.0,Scope 2
156,2018_2019,Coal,0.0,Scope 2
157,2019_2020,Coal,0.0,Scope 2
158,2020_2021,Coal,0.0,Scope 2
159,2021_2022,Coal,0.0,Scope 2
160,2022_2023,Coal,0.0,Scope 2
161,2023_2024,Coal,0.0,Scope 2
162,2006_2007,"#1, 2, & 4 Fuel Oil",3.0,Scope 2
163,2007_2008,"#1, 2, & 4 Fuel Oil",4.0,Scope 2
164,2008_2009,"#1, 2, & 4 Fuel Oil",3.0,Scope 2
