Scope 2: Indirect Emissions from Electricity Purchases,,,,,,,,,,,,,,,,,,,,,,,
"This section includes emissions from all stationary combustion of fossil fuels done in direct proportion to an energy source purchased by the institution; i.e. purchased electricity and steam generated outside the geographic/control boundaries set in the introduction, yet consumed within them.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Calculating kWH of Carbon Emitting Electricity Sources,,,,,,,,,,,,,,,,,,,,,,,
,Fiscal Year:,,,,,,,,,,,,,,,,,,,,,,
Value,FY06/07,FY07/08,FY08/09,FY09/10,FY10/11,FY11/12,FY12/13,FY13/14,FY14/15,FY 15/16,FY 16/17,FY 17/18,FY 18/19,FY 19/20,FY 20/21,FY 21/22,,FY 22/23,FY 23/24,FY 24/25,,,
Should be 100:,99.939,99.929,99.966,99.700,99.900,100.862,94.022,95.022,100.000,100.000,98.371,97.998,100.000,97.265,97.200,97.200,,97.200,97.200,97.200,,,
,,,,,,,,,,,,,,,,,,,,,,,
Net kWh by Source:,,,,,,,,,,,,,,,,,,,,,,,
Co-Generation,"4,242,211","4,450,804","4,139,840","3,813,050","4,115,865","3,654,240","3,320,096","3,756,420","3,604,293","3,001,400","3,578,299","2,997,780","3,761,060","3,041,280","3,000,444","3,175,960",,"2,526,700","2,545,300",0,,,
Wind,"4,825","4,317","5,168","3,965","4,910","2,768","2,328","4,172","4,902","4,126","4,341","3,863","4,135","3,575","2,072","1,652",,"1,652","1,652",0,,,
Solar,"1,001","2,966","11,573","11,006","10,627","143,023","259,362","606,777","1,031,541","1,034,979","1,395,497","1,786,463","1,703,031","1,812,588","1,772,245","1,852,576",,"1,852,576","1,852,576",0,,,
CH4 digestion,"41,680","50,869","38,941","78,354","66,491","66,000","31,835","31,835","31,835","31,800",,,,,,,,,,,,,
Biomass,"346,227","416,638","358,523","775,694","858,165","739,864","1,134,705","1,109,162",0,0,"295,964","292,174",0,0,0,0,,0,0,0,,,
Hydro,"7,768,634","8,276,473","7,983,022","8,798,582","8,867,706","8,417,072","10,454,395","10,219,053","10,208,203","7,455,279","9,848,027","9,769,825","12,338,888","10,872,285","11,654,608","11,385,073",,"11,864,130","11,561,365",0,,,
Nuclear,"11,789,610","10,711,877","10,766,993","12,078,658","11,024,121","11,125,311","4,303,835","4,206,949","5,819,297","6,094,493","5,610,097","6,158,785","5,663,752","5,545,527","5,693,445","5,561,774",,"5,795,800","5,647,895",0,,,
Natural Gas,"125,868","185,853","140,803",0,0,"139,816","3,864,018","3,777,033","4,006,875","4,456,408","3,892,034","4,924,548","1,213,661","442,812",0,0,,0,0,0,,,
Coal,"48,573","75,483","53,225",0,0,"21,426","475,794","465,084",0,0,"238,190","161,199",0,950,18,17,,18,18,0,,,
"#1, 2, & 4 Fuel Oil","10,223","17,076","11,056","44,325",0,"6,371","26,644","236,871","2,176,684","2,234,580","23,312","70,525","1,011,384","43,965",0,0,,0,0,0,,,
#5 & 6 Fuel Oil,"63,486","129,287","76,921",0,"22,004","14,866","19,411","18,974",0,0,0,0,0,0,0,0,,0,0,0,,,
Other (assume NPCC grid),"1,384,037","2,120,179","2,011,923","398,928","1,210,233","955,680",22,21,0,0,"2,005,862","322,398",0,"199,424",0,0,,0,0,0,,,
Total kWh:,"25,826,374","26,441,822","25,597,988","26,002,562","26,180,122","25,286,438","23,892,446","24,432,351","26,883,630","24,313,064","26,891,624","26,487,561","25,695,911","21,962,405","22,122,832","21,977,052",,"22,040,876","21,608,805",0,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Electricity Sources by Percent,,,,,,,,,,,,,,,,,,,,,,,
Co-Gen,16.4%,16.8%,16.2%,14.7%,15.7%,14.5%,13.9%,15.4%,13.4%,12.3%,13.3%,11.3%,14.6%,13.8%,13.6%,14.5%,,11.5%,11.8%,#DIV/0!,,,
Wind,0.02%,0.02%,0.02%,0.02%,0.02%,0.01%,0.01%,0.02%,0.02%,0.02%,0.02%,0.01%,0.02%,0.02%,0.01%,0.01%,,0.01%,0.01%,#DIV/0!,,,
Solar,0.00%,0.01%,0.05%,0.04%,0.04%,0.57%,1.09%,2.48%,3.84%,4.26%,5.19%,6.74%,6.63%,8.25%,8.01%,8.43%,,8.41%,8.57%,#DIV/0!,,,
CH4 digestion,0.16%,0.19%,0.15%,0.30%,0.25%,0.26%,0.13%,0.13%,0.12%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,#DIV/0!,,,
Biomass,1.34%,1.58%,1.40%,2.98%,3.28%,2.93%,4.75%,4.54%,0.00%,0.00%,1.10%,1.10%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,#DIV/0!,,,
Hydro,30.1%,31.3%,31.2%,33.8%,33.9%,33.3%,43.8%,41.8%,38.0%,30.7%,36.6%,36.9%,48.0%,49.5%,52.7%,51.8%,,53.8%,53.5%,#DIV/0!,,,
Nuclear,45.6%,40.5%,42.1%,46.5%,42.1%,44.0%,18.0%,17.2%,21.6%,25.1%,20.9%,23.3%,22.0%,25.3%,25.7%,25.3%,,26.3%,26.1%,#DIV/0!,,,
Natural Gas,0.5%,0.7%,0.6%,0.0%,0.0%,0.6%,16.2%,15.5%,14.9%,18.3%,14.5%,18.6%,4.7%,2.0%,0.0%,0.0%,,0.0%,0.0%,#DIV/0!,,,
Coal,0.2%,0.3%,0.2%,0.0%,0.0%,0.1%,2.0%,1.9%,0.0%,0.0%,0.9%,0.6%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,#DIV/0!,,,
"#1, 2, & 4 Fuel Oil",0.0%,0.1%,0.0%,0.2%,0.0%,0.0%,0.1%,1.0%,8.1%,9.2%,0.1%,0.3%,3.9%,0.2%,0.0%,0.0%,,0.0%,0.0%,#DIV/0!,,,
#5 & 6 Fuel Oil,0.2%,0.5%,0.3%,0.0%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,#DIV/0!,,,
Other (assume NPCC grid),5.4%,8.0%,7.9%,1.5%,4.6%,3.8%,0.0%,0.0%,0.0%,0.0%,7.5%,1.2%,0.0%,0.9%,0.0%,0.0%,,0.0%,0.0%,#DIV/0!,,,
Total kWh:,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,,100.0%,100.0%,#DIV/0!,,,
Renewables,,,33.1%,40.7%,43.3%,41.8%,55.0%,55.8%,51.9%,45.9%,53.9%,54.7%,69.3%,71.6%,74.3%,74.7%,,#REF!,73.9%,#DIV/0!,,,
FossilFuels,,,66.9%,59.3%,56.7%,58.2%,45.0%,44.2%,48.1%,54.1%,46.1%,45.3%,30.7%,28.4%,25.7%,25.3%,,#REF!,26.1%,#DIV/0!,,,
%renewable co-gen,,,10.5%,44.5%,57.7%,53.1%,72.4%,74.1%,73.9%,67.0%,73.3%,70.2%,69.3%,69.0%,57.4%,56.7%,,68.8%,75.5%,75.5%,,,
,,,,,,,,,,,,,,,,,,,,,,,
Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
Value/EF,FY06/07,FY07/08,FY08/09,FY09/10,FY10/11,FY11/12,FY12/13,FY13/14,FY14/15,FY 15/16,FY 16/17,FY 17/18,FY 18/19,FY 19/20,FY 20/21,FY 20/21,,FY 20/21,FY 20/21,FY 20/21,,,
kWh from Natural Gas,"125,868","185,853","140,803",0,0,"139,816","3,864,018","3,777,033","4,006,875","4,456,408","3,892,034","4,924,548","1,213,661","442,812",0,0,,0,0,0,,,
MMBTUs of electricity,429.5,634.1,480.4,0.0,0.0,477.1,"13,184.4","12,887.6","13,671.9","15,205.7","13,280.0","16,803.1","4,141.1","1,510.9",0.0,0.0,,0.0,0.0,0.0,,,
Metric Tonnes CO2,22.7,33.5,25.3,0.0,0.0,25.2,695.6,679.9,721.3,802.2,700.6,886.5,218.5,79.7,0.0,0.0,,0.0,0.0,0.0,,,
Tonnes CH4,0.00041,0.00060,0.00046,0.00000,0.00000,0.00045,0.01253,0.01224,0.01299,0.01445,0.01262,0.01596,0.00393,0.00144,0.00000,0.00000,,0.00000,0.00000,0.00000,,,
MTCDE from CH4,0.009,0.013,0.010,0.000,0.000,0.010,0.263,0.257,0.273,0.303,0.265,0.335,0.083,0.030,0.000,0.000,,0.000,0.000,0.000,,,
Tonnes N2O,0.00004,0.00006,0.00005,0.00000,0.00000,0.00005,0.00125,0.00122,0.00130,0.00144,0.00126,0.00160,0.00039,0.00014,0.00000,0.00000,,0.00000,0.00000,0.00000,,,
MTCDE from N2O,0.013,0.019,0.014,0.000,0.000,0.014,0.388,0.380,0.403,0.448,0.391,0.495,0.122,0.044,0.000,0.000,,0.000,0.000,0.000,,,
ΣMTCDE from Natural Gas,22.7,33.5,25.3,0.0,0.0,25.2,696.3,680.5,722.0,803.0,701.3,887.3,218.7,79.8,0.0,0.0,,0.0,0.0,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,
Coal,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Value/EF,FY06/07,FY07/08,FY08/09,FY09/10,FY10/11,FY11/12,FY12/13,FY13/14,FY14/15,FY 15/16,FY 16/17,FY 17/18,FY 18/19,FY 19/20,FY 20/21,FY 21/22,,FY 21/22,FY 21/22,FY 21/22,,,
kWh from Coal,"48,573","75,483","53,225",0,0,"21,426","475,794","465,084",0,0,"238,190","161,199",0,950,18,17,,18,18,0,,,
MMBTUs of electricity,165.7,257.6,181.6,0.0,0.0,73.1,"1,623.5","1,586.9",0.0,0.0,812.7,550.0,0.0,3.2,0.1,0.1,,0.1,0.1,0.0,,,
Metric Tonnes CO2,15.3,23.8,16.8,0.0,0.0,6.8,150.1,146.7,0.0,0.0,75.2,50.9,0.0,0.3,0.0,0.0,,0.0,0.0,0.0,,,
Tonnes CH4,0.00017,0.00026,0.00018,0.00000,0.00000,0.00007,0.00162,0.00159,0.00000,0.00000,0.00081,0.00055,0.00000,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,,,
MTCDE from CH4,0.003,0.005,0.004,0.000,0.000,0.002,0.034,0.033,0.000,0.000,0.017,0.012,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,,
Tonnes N2O,0.00023,0.00036,0.00025,0.00000,0.00000,0.00010,0.00227,0.00222,0.00000,0.00000,0.00114,0.00077,0.00000,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,,,
